# TUFS Basic Arabic Wordnet	arb	http://www.coelang.tufs.ac.jp/mt/ar/	CC BY 4.0
15210045-n	arb:lemma	يناير
15210045-n	arb:exe	0	في اليوم الأول من يناير يمتح الأطفال هدايا نقدية.
15210045-n	arb:count	يناير	1
15210045-n	arb:pron	يناير			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_350.mp3	
15210045-n	arb:lemma	يَنَايِرُ
15210045-n	arb:exe	0	نحن في الحادي والعشرين من شهر يناير.
15210045-n	arb:exe	1	في اليوم الأول من يناير يمتح الأطفال هدايا نقدية.
15210045-n	arb:exe	2	نحن في الحادي والعشرين من شهر يناير.
15210045-n	arb:exe	3	اليوم هو الحادي والعشرون من شهر يناير.
15210045-n	arb:exe	4	اليوم هو الحادي والعشرون من شهر يناير.
15210045-n	arb:pron	يَنَايِرُ			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_2449.mp3	
15210045-n	arb:lemma	كَانُونَ ٱلثَّانِي
15210045-n	arb:pron	كَانُونَ ٱلثَّانِي			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_1950.mp3	
05755883-n	arb:lemma	دِرَاسَةٌ
05755883-n	arb:exe	0	دراسة اللغة العربية مفيدة لفهم أوضاع الشرق الأوسط.
05755883-n	arb:pron	دِرَاسَةٌ			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_1322.mp3	
05755883-n	arb:lemma	دراسة	دراسات__morph:pl
05755883-n	arb:exe	0	دراسة اللغة العربية مفيدة لفهم أوضاع الشرق الأوسط.
05755883-n	arb:count	دراسة	1
05755883-n	arb:pron	دراسة			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_122.mp3	
15163797-n	arb:lemma	يوم الأحد
15163797-n	arb:exe	0	سأدعوك إلى العشاء في بيتي يوم الأحد إن شاء الله.
15163797-n	arb:exe	1	للأسف الشديد أنا مشغول يومي يوم الخميس والأحد، لذلك لا أستطيع أن أخرج معك .
15163797-n	arb:count	يوم الأحد	1
15163797-n	arb:pron	يوم الأحد			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_363.mp3	
15043763-n	arb:lemma	ثلج	ثلوج__morph:pl
15043763-n	arb:exe	0	يغطي الثلج قمة هذا الجبل طوال السنة.
15043763-n	arb:count	ثلج	1
15043763-n	arb:pron	ثلج			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_419.mp3	
00251013-n	arb:lemma	تنظيف
00251013-n	arb:exe	0	أرجو منك مساعدتي في تنظيف الغرفة.
00251013-n	arb:count	تنظيف	1
00251013-n	arb:pron	تنظيف			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_83.mp3	
08058098-n	arb:lemma	شركة	شركات__morph:pl
08058098-n	arb:exe	0	ابن عمي يعمل في شركة كومبيوتر.
08058098-n	arb:count	شركة	1
08058098-n	arb:pron	شركة			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_42.mp3	
08058098-n	arb:lemma	شَرِكَةٌ
08058098-n	arb:exe	0	أَمَامَ ٱلْبَنْكِ شَرِكَةٌ.
08058098-n	arb:exe	1	ما عمل أمّك؟ ... هي موظّفة في شركة.‎
08058098-n	arb:exe	2	ما عمل أمّك؟ ... هي موظّفة في شركة.‎
08058098-n	arb:exe	3	ابن عمي يعمل في شركة كومبيوتر.
08058098-n	arb:exe	4	يتغير جو المكتب تماما عندما يدخل مدير الشركة.
08058098-n	arb:count	شَرِكَةٌ	1
08058098-n	arb:pron	شَرِكَةٌ			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_1565.mp3	
01382086-a	arb:lemma	كَبِيرٌ
01382086-a	arb:exe	0	ليست عندي نقود كي أسكن في شقة كبيرة.
01382086-a	arb:exe	1	كان أخي الكبير يعلمني السباحة في النهر القريب من بيتنا.
01382086-a	arb:exe	2	في جامعتنا عدد كبير من الطلاب الأجانب.
01382086-a	arb:exe	3	هذه الملاهي دائما مزدحمة بالكبار والصغار.
01382086-a	arb:exe	4	التقى الوفد الياباني بكبار المسؤولين في البيت الأبيض.
01382086-a	arb:exe	5	هَلِ ٱلْوَلَدُ كَبِيرٌ؟
01382086-a	arb:exe	6	اَلْمَرْكَزُ كَبِيرٌ.
01382086-a	arb:exe	7	أخي الكبير متزوّج وله ٣ بنات.‎
01382086-a	arb:exe	8	أخي الكبير متزوّج وله ٣ بنات.‎
01382086-a	arb:exe	9	أخي الكبير متزوّج وله ٣ بنات.‎
01382086-a	arb:exe	10	هي أكبر منّي بـ ٣ سنوات.
01382086-a	arb:exe	11	أوساكا ثاني أكبر مدينة في اليابان.
