# TUFS Basic English Wordnet	eng	http://www.coelang.tufs.ac.jp/mt/en/	CC BY 4.0
15210045-n	eng:lemma	January
15210045-n	eng:exe	January is the first month of the year.
05755883-n	eng:lemma	study
05755883-n	eng:exe	She began the study of Italian two years ago.
04971928-n	eng:lemma	brown
04971928-n	eng:exe	That man with brown hair is Mr. Smith.
15163797-n	eng:lemma	Sunday
15163797-n	eng:exe	What about going on Sunday?
15043763-n	eng:lemma	snow
15043763-n	eng:exe	This road is closed to traffic during winter because of heavy snow..
00251013-n	eng:lemma	cleaning
00251013-n	eng:exe	This book has a lot of cleaning tips.
08058098-n	eng:lemma	company
08058098-n	eng:exe	My father works for a well-known company.
01382086-a	eng:lemma	big
01382086-a	eng:exe	That elephant is very big!
01453084-a	eng:lemma	big
01453084-a	eng:exe	That elephant is very big!
00527870-a	eng:lemma	big
00527870-a	eng:exe	That elephant is very big!
01677433-a	eng:lemma	big
01677433-a	eng:exe	That elephant is very big!
10084295-n	eng:lemma	girl
10084295-n	eng:exe	The girl likes performing music.
10129825-n	eng:lemma	girl
10129825-n	eng:exe	The girl likes performing music.
10129825-n	eng:lemma	sister
10129825-n	eng:exe	How about your sister?
00065495-v	eng:lemma	fine
00065495-v	eng:exe	They're fine, but they are really busy. 
80001734-n	eng:lemma	class
80001734-n	eng:exe	And class is about to begin.
00889472-n	eng:lemma	class
00889472-n	eng:exe	And class is about to begin.
02608347-v	eng:lemma	begin
02608347-v	eng:exe	And class is about to begin.
07850329-n	eng:lemma	cheese
07850329-n	eng:exe	Cheese is good for your health.
03623556-n	eng:lemma	knife
03623556-n	eng:exe	I cut my finger with a knife.
03624134-n	eng:lemma	knife
03624134-n	eng:exe	I cut my finger with a knife.
01776727-v	eng:lemma	hate
01776727-v	eng:exe	I hate Japanese sweets!
01774136-v	eng:lemma	hate
01774136-v	eng:exe	I hate Japanese sweets!
02783161-n	eng:lemma	ballpoint pen
02783161-n	eng:exe	My ballpoint pen has run out of ink.
02632567-v	eng:lemma	want
02632567-v	eng:exe	Do you want something cold to drink?
01579608-a	eng:lemma	soon
01579608-a	eng:exe	We will soon be arriving at Tama Station.
03427296-n	eng:lemma	gate
03427296-n	eng:exe	The mailbox is outside the white gate.
04026417-n	eng:lemma	wallet
04026417-n	eng:exe	Your wallet looks very heavy.
11456462-n	eng:lemma	fine
11456462-n	eng:exe	The weather is fine today.
07848338-n	eng:lemma	butter
07848338-n	eng:exe	Can you spread butter on my toast?
90000501-n	eng:lemma	last year
90000501-n	eng:exe	My wife gave birth to our daughter last year.
15210870-n	eng:lemma	March
15210870-n	eng:exe	In Japan, graduation ceremonies are held in March.
77000072-n	eng:lemma	here
77000072-n	eng:exe	Well, I think you'll make a lot of new friends here. 
08489497-n	eng:lemma	here
08489497-n	eng:exe	Well, I think you'll make a lot of new friends here. 
03561345-n	eng:lemma	picture
03561345-n	eng:exe	I'm drawing a picture. 
03234306-n	eng:lemma	picture
03234306-n	eng:exe	I'm drawing a picture. 
03876519-n	eng:lemma	picture
03876519-n	eng:exe	I'm drawing a picture. 
07110615-n	eng:lemma	voice
07110615-n	eng:exe	Please sing in a loud voice.
05202284-n	eng:lemma	voice
05202284-n	eng:exe	Please sing in a loud voice.
09411430-n	eng:lemma	river
09411430-n	eng:exe	You can't swim in this river.
15236859-n	eng:lemma	fall
15236859-n	eng:exe	It's beautiful there in the fall.
02107442-v	eng:lemma	ask
02107442-v	eng:exe	That sounds good, but I have to ask my parents first. 
02169891-v	eng:lemma	ask
02169891-v	eng:exe	That sounds good, but I have to ask my parents first. 
02242464-v	eng:lemma	sell
02242464-v	eng:exe	They sell futon there.
00271022-a	eng:lemma	light
00271022-a	eng:exe	The sky over Cape Sounion became light purple at dusk.
00396523-a	eng:lemma	light
00396523-a	eng:exe	The sky over Cape Sounion became light purple at dusk.
00269989-a	eng:lemma	light
00269989-a	eng:exe	The sky over Cape Sounion became light purple at dusk.
00278551-a	eng:lemma	light
00278551-a	eng:exe	The sky over Cape Sounion became light purple at dusk.
02924116-n	eng:lemma	bus
02924116-n	eng:exe	Is it possible to get there by bus?
01614426-v	eng:lemma	stick
01614426-v	eng:exe	Please stick a fifty-yen stamp on this postcard.
80001230-x	eng:lemma	yes
80001230-x	eng:exe	Yes, but it was scary when I first saw these tiny eyes.
01184932-a	eng:lemma	heavy
01184932-a	eng:exe	This box is so heavy I can't pick it up.
07881800-n	eng:lemma	drink
