# TUFS Basic Indonesian Wordnet	ind	http://www.coelang.tufs.ac.jp/mt/id/	CC BY 4.0
15210045-n	ind:lemma	Januari
15210045-n	ind:exe	1月  Januari
05755883-n	ind:lemma	belajar
05755883-n	ind:exe	Saya sedang belajar bahasa Indonesia.
04971928-n	ind:lemma	cokelat
04971928-n	ind:exe	Saya ingin rambut saya diwarnai cokelat.
15163797-n	ind:lemma	minggu
15163797-n	ind:exe	Ria, hari Minggu ini ada rencana?
15043763-n	ind:lemma	salju
15043763-n	ind:exe	Di tempat kamu saljunya turun banyak?
00251013-n	ind:lemma	pembersihan
00251013-n	ind:exe	Program pembersihan lingkungan akan diadakan di kampung kami.
08058098-n	ind:lemma	kantor
08058098-n	ind:exe	Laki-laki yang baru saja masuk ke kantor itu adalah kakak saya.
01382086-a	ind:lemma	besar
01382086-a	ind:exe	Matanya besar dan hidungnya mancung.
01453084-a	ind:lemma	besar
01453084-a	ind:exe	Matanya besar dan hidungnya mancung.
00527870-a	ind:lemma	besar
00527870-a	ind:exe	Matanya besar dan hidungnya mancung.
01677433-a	ind:lemma	besar
01677433-a	ind:exe	Matanya besar dan hidungnya mancung.
10084295-n	ind:lemma	anak perempuan
10084295-n	ind:exe	Hampir semua anak perempuan memakai anting-anting.
10129825-n	ind:lemma	anak perempuan
10129825-n	ind:exe	Hampir semua anak perempuan memakai anting-anting.
10129825-n	ind:lemma	kakak
10129825-n	ind:exe	Sibuk membantu persiapan pesta pernikahan kakak saya.
00065495-v	ind:lemma	sehat
00065495-v	ind:exe	Semoga Bapak sekeluarga selalu dalam keadaan sehat.
80001734-n	ind:lemma	kuliah
80001734-n	ind:exe	Saya khawatir akhir-akhir ini Ayu tidak masuk kuliah.
00889472-n	ind:lemma	kuliah
00889472-n	ind:exe	Saya khawatir akhir-akhir ini Ayu tidak masuk kuliah.
02608347-v	ind:lemma	mulai
02608347-v	ind:exe	Minggu depan mulai libur panjang, ya?
07850329-n	ind:lemma	keju
07850329-n	ind:exe	Kemarin saya membuat kue keju dengan kakak saya.
03623556-n	ind:lemma	pisau
03623556-n	ind:exe	Silakan pakai pisau ini untuk memotong daging.
03624134-n	ind:lemma	pisau
03624134-n	ind:exe	Silakan pakai pisau ini untuk memotong daging.
01776727-v	ind:lemma	benci
01776727-v	ind:exe	Saya benci kepada orang yang suka berbohong.
01774136-v	ind:lemma	benci
01774136-v	ind:exe	Saya benci kepada orang yang suka berbohong.
02783161-n	ind:lemma	bolpoin
02783161-n	ind:exe	Formulir ini diisi dengan bolpoin bertinta hitam.
02632567-v	ind:lemma	mau
02632567-v	ind:exe	Kalau begitu, saya mau makan masakan Padang.
01579608-a	ind:lemma	langsung
01579608-a	ind:exe	Kemarin, setelah pulang kerja, saya langsung jatuh tidur karena capai sekali.
03427296-n	ind:lemma	pintu
03427296-n	ind:exe	Dia meminta dibukakan pintu karena membawa banyak barang.
04026417-n	ind:lemma	dompet
04026417-n	ind:exe	Dompet saya dicopet di jalan.
11456462-n	ind:lemma	cuaca cerah
11456462-n	ind:exe	Gunung Fuji dapat dilihat dari sini jika cuaca cerah.
07848338-n	ind:lemma	mentega
07848338-n	ind:exe	Masukkan mentega yang sudah dilumerkan.
90000501-n	ind:lemma	tahun yang lalu
90000501-n	ind:exe	Saya menari tari Pendet di pesta tahun yang lalu.
15210870-n	ind:lemma	Maret
15210870-n	ind:exe	Saya akan datang ke sini lagi, selambat-lambatnya bulan Maret.
77000072-n	ind:lemma	sini
77000072-n	ind:exe	Di sini dilarang parkir motor.
08489497-n	ind:lemma	sini
08489497-n	ind:exe	Di sini dilarang parkir motor.
03561345-n	ind:lemma	lukisan
03561345-n	ind:exe	Lukisan ini bisa menyembuhkan luka hati.
03234306-n	ind:lemma	lukisan
03234306-n	ind:exe	Lukisan ini bisa menyembuhkan luka hati.
03876519-n	ind:lemma	lukisan
03876519-n	ind:exe	Lukisan ini bisa menyembuhkan luka hati.
07110615-n	ind:lemma	suara
07110615-n	ind:exe	Suara Kakak berbeda dengan biasanya. Masuk angin?
05202284-n	ind:lemma	suara
05202284-n	ind:exe	Suara Kakak berbeda dengan biasanya. Masuk angin?
09411430-n	ind:lemma	kali
09411430-n	ind:exe	Kali Brantas mengalir di Jawa Timur.
15236859-n	ind:lemma	musim gugur
15236859-n	ind:exe	O, biasanya di Jepang setiap musim gugur diadakan festival kampus.
02107442-v	ind:lemma	bertanya
02107442-v	ind:exe	Saya ingin bertanya.
02169891-v	ind:lemma	bertanya
02169891-v	ind:exe	Saya ingin bertanya.
02242464-v	ind:lemma	menjual
02242464-v	ind:exe	Apa saja yang dijual di toko itu?
00271022-a	ind:lemma	muda
00271022-a	ind:exe	Ibu Widji usianya sudah tua, tetapi suka memakai baju merah muda.
00396523-a	ind:lemma	muda
00396523-a	ind:exe	Ibu Widji usianya sudah tua, tetapi suka memakai baju merah muda.
00269989-a	ind:lemma	muda
00269989-a	ind:exe	Ibu Widji usianya sudah tua, tetapi suka memakai baju merah muda.
00278551-a	ind:lemma	muda
00278551-a	ind:exe	Ibu Widji usianya sudah tua, tetapi suka memakai baju merah muda.
02924116-n	ind:lemma	bis
02924116-n	ind:exe	Iya, sih. Tapi kalau naik bis itu lebih murah dibandingkan naik pesawat terbang.
01614426-v	ind:lemma	menempelkan
01614426-v	ind:exe	Kami mohon izin menempelkan stiker ini di sini.
80001230-x	ind:lemma	ya
80001230-x	ind:exe	Ya, Anda harus mengumpulkan dalam minggu ini.
01184932-a	ind:lemma	berat
01184932-a	ind:exe	Saya tidak mau membawa barang yang berat.
07881800-n	ind:lemma	minuman
07881800-n	ind:exe	Sudah memesan minuman dan makanan?
01119192-a	ind:lemma	pintar
01119192-a	ind:exe	Dia juga pintar bahasa Inggris.
02226162-a	ind:lemma	pintar
02226162-a	ind:exe	Dia juga pintar bahasa Inggris.
01838916-a	ind:lemma	pintar
01838916-a	ind:exe	Dia juga pintar bahasa Inggris.
