# TUFS Basic Central Khmer Wordnet	khm http://www.coelang.tufs.ac.jp/mt/km/	CC BY 4.0
15210045-n	khm:lemma	ខែមករា
15210045-n	khm:exe	ខែមករាមានអាកាសធាតុត្រជាក់ស្ងួតស្រួលដើរកំសាន្ដ។
05755883-n	khm:lemma	ការសិក្សា
05755883-n	khm:exe	និសិ្សតចាប់អារម្មណ៍ការសិក្សាភាសាបរទេស។
04971928-n	khm:lemma	ត្នោត
04971928-n	khm:exe	គោនេះឈ្មោះអាត្នោត ព្រោះមានសម្បុរត្នោតទុំ។
15163797-n	khm:lemma	ថ្ងៃអាទិត្យ
15163797-n	khm:exe	បណ្ណាល័យរបស់សាលានេះបើកថ្ងៃអាទិត្យ តែបិទថ្ងៃចន្ទ។
15043763-n	khm:lemma	ព្រឹល
15043763-n	khm:exe	ព្រឹលធ្លាក់សក្បុសលើដំបូលផ្ទះ។
00251013-n	khm:lemma	បោសសំអាត
00251013-n	khm:exe	បាទ លុបមុខ បោសសំអាតផ្ទះ បោកខោអាវ ហើយរៀបចំបាយព្រឹកសម្រាប់់ប្រពន្ធកូនខ្ញុំ។
08058098-n	khm:lemma	ក្រុមហ៊ុន
08058098-n	khm:exe	ក្រុមហ៊ុនមានច្រើន ការរកស៊ីប្រជែងគ្នាក៏ច្រើន។
01382086-a	khm:lemma	ធំ
01382086-a	khm:exe	បានត្រីធំៗច្រើនឬ?
01453084-a	khm:lemma	ធំ
01453084-a	khm:exe	បានត្រីធំៗច្រើនឬ?
00527870-a	khm:lemma	ធំ
00527870-a	khm:exe	បានត្រីធំៗច្រើនឬ?
01677433-a	khm:lemma	ធំ
01677433-a	khm:exe	បានត្រីធំៗច្រើនឬ?
10084295-n	khm:lemma	កូនស្រី
10084295-n	khm:exe	ប៉ានាងស្រឡាញ់កូនស្រីណាស់ មើលទៅ។
10129825-n	khm:lemma	កូនស្រី
10129825-n	khm:exe	ប៉ានាងស្រឡាញ់កូនស្រីណាស់ មើលទៅ។
10129825-n	khm:lemma	បងស្រី
10129825-n	khm:exe	នាងម៉ានយ៉ានជាបងស្រីបង្កើតរបស់ណារិន។
00065495-v	khm:lemma	សុខសប្បាយ
00065495-v	khm:exe	ចំណែកទេវី ក៏សូមឲ្យបានសុខសប្បាយដែរ។ ជំរាបលា។
80001734-n	khm:lemma	ថ្នាក់
80001734-n	khm:exe	ថ្ងៃនេះថ្នាក់គីមីគ្រូមិនបានមកទេ។
00889472-n	khm:lemma	ថ្នាក់
00889472-n	khm:exe	ថ្ងៃនេះថ្នាក់គីមីគ្រូមិនបានមកទេ។
02608347-v	khm:lemma	ចាប់ផ្ដើម
02608347-v	khm:exe	សន្និបាតនេះចាប់ផ្ដើមឡើង បន្ទាប់ពីរដ្ឋមន្ដ្រីប្រកាសបើកហើយ។
03623556-n	khm:lemma	កាំបិត
03623556-n	khm:exe	អញ្ចឹង សូមកុំប្រើកាំបិតអី។
03624134-n	khm:lemma	កាំបិត
03624134-n	khm:exe	អញ្ចឹង សូមកុំប្រើកាំបិតអី។
01776727-v	khm:lemma	មិនចូលចិត្ត
01776727-v	khm:exe	គាត់មិនចូលចិត្តស្រីៗដើរយប់។
01774136-v	khm:lemma	មិនចូលចិត្ត
01774136-v	khm:exe	គាត់មិនចូលចិត្តស្រីៗដើរយប់។
02783161-n	khm:lemma	ប៊ិក
02783161-n	khm:exe	គាត់រកទិញប៊ិកថ្លៃៗ ដើម្បីធ្វើជាកាដូ។
02632567-v	khm:lemma	ចង់បាន
02632567-v	khm:exe	ខ្ញុំចង់បានបន្ទប់នៅជាន់ទីបី បង្អួចបែរទៅរកថ្នល់ធំខាងមុខ។
01579608-a	khm:lemma	ជិតដល់
01579608-a	khm:exe	ក្នុងថ្នាក់នៅពេលជិតដល់ម៉ោង សិស្សនៅស្ងៀមចាំគ្រូឲ្យចេញទៅផ្ទះ។
03427296-n	khm:lemma	ទ្វារ
03427296-n	khm:exe	ទំនប់នេះមានទឹកពេញព្រៀប ត្រូវការបើកទ្វារទឹកបញ្ចេញខ្លះ។
04026417-n	khm:lemma	កាបូបលុយ
04026417-n	khm:exe	ចោរលួចកាបូបលុយខ្ញុំ។
11456462-n	khm:lemma	មេឃស្រឡះ
11456462-n	khm:exe	ក្រោយភ្លៀងមួយមេ មេឃស្រឡះ។
07848338-n	khm:lemma	បឺរ
07848338-n	khm:exe	គាត់ចូលចិត្តក្លែមស្រាជាមួយកង្កែបចៀនបឺរ។
90000501-n	khm:lemma	ឆ្នាំមុន
90000501-n	khm:exe	វិស្សមកាលឆ្នាំមុន យើងបានទៅលេងអង្គរវត្ត។
15210870-n	khm:lemma	ខែមីនា
15210870-n	khm:exe	យើងនាំគ្នាទៅលេងឆ្នេរសមុទ្រ នៅពាក់កណ្ដាលខែមីនា។
77000072-n	khm:lemma	កន្លែងនេះ
77000072-n	khm:exe	ឯងត្រូវឈរកន្លែងនេះ កុំទៅណា។
08489497-n	khm:lemma	កន្លែងនេះ
08489497-n	khm:exe	ឯងត្រូវឈរកន្លែងនេះ កុំទៅណា។
03561345-n	khm:lemma	គំនូរ
03561345-n	khm:exe	ផ្ទាំងគំនូរដ៏រស់រវើកមួយនេះ គូរដោយលោកញឹក ឌឹម។
03234306-n	khm:lemma	គំនូរ
03234306-n	khm:exe	ផ្ទាំងគំនូរដ៏រស់រវើកមួយនេះ គូរដោយលោកញឹក ឌឹម។
03876519-n	khm:lemma	គំនូរ
03876519-n	khm:exe	ផ្ទាំងគំនូរដ៏រស់រវើកមួយនេះ គូរដោយលោកញឹក ឌឹម។
07110615-n	khm:lemma	សំឡេង
