# TUFS Basic Mongolian Wordnet	mon http://www.coelang.tufs.ac.jp/mt/mn/	CC BY 4.0
15210045-n	mon:lemma	нэгдүгээр сар
15210045-n	mon:exe	Нэгдүгээр сард цас их орж, их хүйтэн байдаг.
05755883-n	mon:lemma	сурах
05755883-n	mon:exe	Чи ямар сургуульд сурдаг вэ? 
04971928-n	mon:lemma	хүрэн
04971928-n	mon:exe	Аан! Тэр өндөр хүрэн барилга уу? Ямар хэл сурч байна даа? 
15163797-n	mon:lemma	бүтэн сайн өдөр
15163797-n	mon:exe	Дараагийн бүтэн сайн өдөр юу хийх вэ?
15043763-n	mon:lemma	цас
15043763-n	mon:exe	Нэгдүгээр сард цас их орж, их хүйтэн байдаг.
08058098-n	mon:lemma	компани
08058098-n	mon:exe	Хандаа эгч том компанид ажилладаг.
01382086-a	mon:lemma	том
01382086-a	mon:exe	Хандаа эгч том компанид ажилладаг.
01453084-a	mon:lemma	том
01453084-a	mon:exe	Хандаа эгч том компанид ажилладаг.
00527870-a	mon:lemma	том
00527870-a	mon:exe	Хандаа эгч том компанид ажилладаг.
01677433-a	mon:lemma	том
01677433-a	mon:exe	Хандаа эгч том компанид ажилладаг.
10084295-n	mon:lemma	охин
10084295-n	mon:exe	Би охинтойгоо хамт амьдардаг. Манай охин танай хүүгээс 2 насаар дүү юм байна. 
10129825-n	mon:lemma	охин
10129825-n	mon:exe	Би охинтойгоо хамт амьдардаг. Манай охин танай хүүгээс 2 насаар дүү юм байна. 
10129825-n	mon:lemma	эгч
10129825-n	mon:exe	Сая би танай эгчтэй тааралдсан шүү дээ.
00065495-v	mon:lemma	сайн
00065495-v	mon:exe	Танайхан сайн биз дээ?
80001734-n	mon:lemma	хичээл
80001734-n	mon:exe	Багшийн хичээлд сууж байсан уу?
00889472-n	mon:lemma	хичээл
00889472-n	mon:exe	Багшийн хичээлд сууж байсан уу?
02608347-v	mon:lemma	эхлэх
02608347-v	mon:exe	Чимээгүй, жүжиг эхэллээ шүү.
07850329-n	mon:lemma	бяслаг
07850329-n	mon:exe	Монголчууд яаж бяслаг хийдгийг чи мэдэх үү?
03623556-n	mon:lemma	хутга
03623556-n	mon:exe	Эхлээд халбагаар шөлийг уугаад, дараа нь сэрээ хутга хэрэглэж махыг иднэ.
03624134-n	mon:lemma	хутга
03624134-n	mon:exe	Эхлээд халбагаар шөлийг уугаад, дараа нь сэрээ хутга хэрэглэж махыг иднэ.
01776727-v	mon:lemma	дургүй
01776727-v	mon:exe	Дорж ногоотой шөлөнд дургүй.
01774136-v	mon:lemma	дургүй
01774136-v	mon:exe	Дорж ногоотой шөлөнд дургүй.
02783161-n	mon:lemma	бал
02783161-n	mon:exe	Анкетийн хуудсыг нэг бол харандаа, нэг бол хар балаар бөглөнө үү.
02632567-v	mon:lemma	авмаар байна
