# TUFS Basic Malay Wordnet	zsm http://www.coelang.tufs.ac.jp/mt/ms/	CC BY 4.0
05755883-n	zsm:lemma	belajar
05755883-n	zsm:exe	Saya tidak berapa suka belajar.
04971928-n	zsm:lemma	warna coklat
04971928-n	zsm:exe	Warna rambut Cik Kimura adalah warna coklat.
15163797-n	zsm:lemma	hari Ahad
15163797-n	zsm:exe	Pada hari Ahad saya bermain tenis.
15043763-n	zsm:lemma	salji
15043763-n	zsm:exe	Saya tidak keluar pada hari ada salji.
00251013-n	zsm:lemma	membersihkan
00251013-n	zsm:exe	Saya nak membersihkan rumah selepas balik.
08058098-n	zsm:lemma	syarikat
08058098-n	zsm:exe	Encik Hayashi bekerja di syarikat komputer. 
01382086-a	zsm:lemma	besar
01382086-a	zsm:exe	Anjing di rumah saya besar.
01453084-a	zsm:lemma	besar
01453084-a	zsm:exe	Anjing di rumah saya besar.
00527870-a	zsm:lemma	besar
00527870-a	zsm:exe	Anjing di rumah saya besar.
01677433-a	zsm:lemma	besar
01677433-a	zsm:exe	Anjing di rumah saya besar.
10129825-n	zsm:lemma	kakak
10129825-n	zsm:exe	Kakak Cik Kimura seorang yang sangat cantik.
00065495-v	zsm:lemma	sihat; ceria
00065495-v	zsm:lemma	sihat; ceria
00065495-v	zsm:exe	Encik Yamada seorang yang sangat ceria.
80001734-n	zsm:lemma	kelas
80001734-n	zsm:exe	Kelas cikgu itu menarik.
00889472-n	zsm:lemma	kelas
00889472-n	zsm:exe	Kelas cikgu itu menarik.
02608347-v	zsm:lemma	bermula (brk:mula)
02608347-v	zsm:exe	Universiti akan bermula dari bulan April.
03623556-n	zsm:lemma	pisau
03623556-n	zsm:exe	Tidak boleh guna pisau kerana berbahaya.
03624134-n	zsm:lemma	pisau
03624134-n	zsm:exe	Tidak boleh guna pisau kerana berbahaya.
01776727-v	zsm:lemma	tidak suka
01776727-v	zsm:exe	Saya tidak suka kerja pembersihan dan mencuci pakaian.
01774136-v	zsm:lemma	tidak suka
01774136-v	zsm:exe	Saya tidak suka kerja pembersihan dan mencuci pakaian.
02783161-n	zsm:lemma	pén mata bulat
02783161-n	zsm:exe	Sesiapa yang tidak bawa pen mata bulat, boleh menggunakan pensel.
02632567-v	zsm:lemma	nak
02632567-v	zsm:exe	Saya nak kamus bahasa Jepun.
01579608-a	zsm:lemma	terus; sekejap lagi
01579608-a	zsm:lemma	terus; sekejap lagi
01579608-a	zsm:exe	Saya akan terus mula bekerja setelah tamat pengajian di universiti.
03427296-n	zsm:lemma	pintu pagar
03427296-n	zsm:exe	Ada kucing di depan pintu pagar rumah.
04026417-n	zsm:lemma	dompét
04026417-n	zsm:exe	Semalam saya beli dompet yang baru.
11456462-n	zsm:lemma	cerah
11456462-n	zsm:exe	Kalau cerah esok, mari kita bermain tenis. 
90000501-n	zsm:lemma	tahun lepas
90000501-n	zsm:exe	Tahun ini lebih panas daripada tahun lepas. 
77000072-n	zsm:lemma	sini; ini
77000072-n	zsm:lemma	sini; ini
77000072-n	zsm:exe	Ini Encik Kobayashi. 
08489497-n	zsm:lemma	sini; ini
08489497-n	zsm:lemma	sini; ini
08489497-n	zsm:exe	Ini Encik Kobayashi. 
03561345-n	zsm:lemma	lukisan; melukis
03561345-n	zsm:lemma	lukisan; melukis
03561345-n	zsm:exe	Warna lukisan ini cantik.
03234306-n	zsm:lemma	lukisan; melukis
03234306-n	zsm:lemma	lukisan; melukis
03234306-n	zsm:exe	Warna lukisan ini cantik.
03876519-n	zsm:lemma	lukisan; melukis
03876519-n	zsm:lemma	lukisan; melukis
03876519-n	zsm:exe	Warna lukisan ini cantik.
07110615-n	zsm:lemma	suara
07110615-n	zsm:exe	Kita bercakap dengan suara perlahan kerana sudah pukul dua belas malam.
05202284-n	zsm:lemma	suara
05202284-n	zsm:exe	Kita bercakap dengan suara perlahan kerana sudah pukul dua belas malam.
09411430-n	zsm:lemma	sungai
09411430-n	zsm:exe	Rumah saya terletak di sebalik sungai sana.
15236859-n	zsm:lemma	musim luruh
15236859-n	zsm:exe	Saya lebih suka musim luruh daripada musim bunga.
02242464-v	zsm:lemma	menjual (brk:jual)
02242464-v	zsm:exe	Kedai itu menjual kuih-muih yang sedap.
00271022-a	zsm:lemma	terang
00271022-a	zsm:exe	Bilik darjah ini terang dan cantik.
00396523-a	zsm:lemma	terang
00396523-a	zsm:exe	Bilik darjah ini terang dan cantik.
00269989-a	zsm:lemma	terang
00269989-a	zsm:exe	Bilik darjah ini terang dan cantik.
00278551-a	zsm:lemma	terang
00278551-a	zsm:exe	Bilik darjah ini terang dan cantik.
02924116-n	zsm:lemma	bas
02924116-n	zsm:exe	Saya pergi ke sekolah dengan bas.
01614426-v	zsm:lemma	menampal (brk:tampal)
01614426-v	zsm:exe	Saya menampal setem pada sampul surat.
80001230-x	zsm:lemma	ya
80001230-x	zsm:exe	Ya, saya suka. 
01184932-a	zsm:lemma	berat
01184932-a	zsm:exe	Kotak yang berat dibawa oleh lelaki.
07881800-n	zsm:lemma	minuman
07881800-n	zsm:exe	Saya akan beli minuman dan bawa ketika pergi ke sana pada minggu depan.
01119192-a	zsm:lemma	pandai
01119192-a	zsm:exe	Saya belajar dengan adik lelaki saya sebab dia pandai bermain bola sepak.
02226162-a	zsm:lemma	pandai
02226162-a	zsm:exe	Saya belajar dengan adik lelaki saya sebab dia pandai bermain bola sepak.
01838916-a	zsm:lemma	pandai
01838916-a	zsm:exe	Saya belajar dengan adik lelaki saya sebab dia pandai bermain bola sepak.
03467517-n	zsm:lemma	gitar
03467517-n	zsm:exe	Encik Matsui boleh bermain gitar.
03613294-n	zsm:lemma	kunci
03613294-n	zsm:exe	Ini kunci rumah saya.
01553629-a	zsm:lemma	ramai
01553629-a	zsm:exe	Sekolah ini mempunyai ramai pelajar antarabangsa.
01551633-a	zsm:lemma	ramai
01551633-a	zsm:exe	Sekolah ini mempunyai ramai pelajar antarabangsa.
01552419-a	zsm:lemma	ramai
01552419-a	zsm:exe	Sekolah ini mempunyai ramai pelajar antarabangsa.
