# TUFS Basic Portuguese Wordnet	por	http://www.coelang.tufs.ac.jp/mt/pt/	CC BY 4.0
15210045-n	por:lemma	janeiro
15210045-n	por:exe	Janeiro é o mês do meu aniversário.
05755883-n	por:lemma	estudo
05755883-n	por:exe	Tenho que dedicar-me ao estudo.
04971928-n	por:lemma	castanho
04971928-n	por:exe	Ele tem os olhos castanhos.
15163797-n	por:lemma	domingo
15163797-n	por:exe	Eles têm o costume de passar juntos os domingos em família.
15043763-n	por:lemma	neve
15043763-n	por:exe	Prevê-se para amanhã queda de neve nas terras altas do interior.
00251013-n	por:lemma	limpeza
00251013-n	por:exe	Não gosto de fazer limpeza.
08058098-n	por:lemma	empresa
08058098-n	por:exe	O governo apóia a criação de novas empresas.
01382086-a	por:lemma	grande
01382086-a	por:exe	Um dia eu queria visitar as grandes florestas do Brasil.
01453084-a	por:lemma	grande
01453084-a	por:exe	Um dia eu queria visitar as grandes florestas do Brasil.
00527870-a	por:lemma	grande
00527870-a	por:exe	Um dia eu queria visitar as grandes florestas do Brasil.
01677433-a	por:lemma	grande
01677433-a	por:exe	Um dia eu queria visitar as grandes florestas do Brasil.
10084295-n	por:lemma	menina
10084295-n	por:exe	As meninas gostam de brincar em casa.
10129825-n	por:lemma	menina
10129825-n	por:exe	As meninas gostam de brincar em casa.
10129825-n	por:lemma	irmã mais velha
10129825-n	por:exe	Saí ontem com minha irmã mais velha.
00065495-v	por:lemma	estar bem
00065495-v	por:exe	Estou muito bem.
80001734-n	por:lemma	aula
80001734-n	por:exe	Ele faltou à aula ontem.
00889472-n	por:lemma	aula
00889472-n	por:exe	Ele faltou à aula ontem.
02608347-v	por:lemma	começar
02608347-v	por:exe	A época moderna começa com o descobrimento da América.
07850329-n	por:lemma	queijo
07850329-n	por:exe	A França é um dos países da Europa que produz maior variedade de queijos.
03623556-n	por:lemma	faca
03623556-n	por:exe	Aquela loja tem uma enorme colecção de facas.
03624134-n	por:lemma	faca
03624134-n	por:exe	Aquela loja tem uma enorme colecção de facas.
01776727-v	por:lemma	detestar
01776727-v	por:exe	Detesto aqueles que digam mentiras.
01774136-v	por:lemma	detestar
01774136-v	por:exe	Detesto aqueles que digam mentiras.
02783161-n	por:lemma	caneta
02783161-n	por:exe	Prefiro escrever a lápis à caneta.
02632567-v	por:lemma	querer
02632567-v	por:exe	Queria um café.
01579608-a	por:lemma	já
01579608-a	por:exe	Vou já aí.
03427296-n	por:lemma	portão
03427296-n	por:exe	Os guardas abriram o portão.
04026417-n	por:lemma	carteira
04026417-n	por:exe	Roubaram-me a  carteira no metro.
11456462-n	por:lemma	tempo bom
11456462-n	por:exe	Está bom tempo hoje.
07848338-n	por:lemma	manteiga
07848338-n	por:exe	Comprei um pacote de manteiga.
90000501-n	por:lemma	ano passado
90000501-n	por:exe	Apanhei uma doença grave no ano passado, mas agora fico bem.
15210870-n	por:lemma	março
15210870-n	por:exe	A primavera começa a 21 de Março e termina a 20 de Junho.
77000072-n	por:lemma	aqui
77000072-n	por:exe	O autocarro não passa por aqui.
08489497-n	por:lemma	aqui
08489497-n	por:exe	O autocarro não passa por aqui.
03561345-n	por:lemma	pintura
03561345-n	por:exe	Comprei um livro sobre hístoria da pintura.
03234306-n	por:lemma	pintura
03234306-n	por:exe	Comprei um livro sobre hístoria da pintura.
03876519-n	por:lemma	pintura
03876519-n	por:exe	Comprei um livro sobre hístoria da pintura.
07110615-n	por:lemma	voz
07110615-n	por:exe	De repente, ouviu uma voz a chamá-la.
05202284-n	por:lemma	voz
05202284-n	por:exe	De repente, ouviu uma voz a chamá-la.
09411430-n	por:lemma	rio
09411430-n	por:exe	O Tejo é o maior rio em Portugal.
15236859-n	por:lemma	outono
15236859-n	por:exe	As vindimas começam no início do Outono.
02107442-v	por:lemma	perguntar
02107442-v	por:exe	Ele perguntou-me pelo caminho para o aeroporto.　
02169891-v	por:lemma	perguntar
02169891-v	por:exe	Ele perguntou-me pelo caminho para o aeroporto.　
02242464-v	por:lemma	vender
02242464-v	por:exe	Venderam tudo o que havia no armazém.
00271022-a	por:lemma	claro
00271022-a	por:exe	Este vestido claro ficará-lhe bem.
00396523-a	por:lemma	claro
00396523-a	por:exe	Este vestido claro ficará-lhe bem.
00269989-a	por:lemma	claro
00269989-a	por:exe	Este vestido claro ficará-lhe bem.
00278551-a	por:lemma	claro
00278551-a	por:exe	Este vestido claro ficará-lhe bem.
02924116-n	por:lemma	autocarro
02924116-n	por:exe	Tenho que apanhar o autocarro para ir ao centro da cidade.
01614426-v	por:lemma	colar
01614426-v	por:exe	Tem que colar o selo de oitenta ienes no envelope.
80001230-x	por:lemma	sim
80001230-x	por:exe	"Gostou do vinho?""Sim, foi óptimo!"
01184932-a	por:lemma	pesado
01184932-a	por:exe	O saco está tão pesado que ela não pode levá-lo.
07881800-n	por:lemma	bebida
07881800-n	por:exe	Pedi  uma bebida fresca e deram-me uma limonada com vàrios cubos de gelo.
01119192-a	por:lemma	hábil
01119192-a	por:exe	Ela é habil a manejar o arco e a flecha.
02226162-a	por:lemma	hábil
02226162-a	por:exe	Ela é habil a manejar o arco e a flecha.
01838916-a	por:lemma	hábil
