# TUFS Basic Russian Wordnet	rus	http://www.coelang.tufs.ac.jp/mt/ru/	CC BY 4.0
15210045-n	rus:lemma	январь
15210045-n	rus:exe	Какое сегодня число?  － Сегодня двадцать трéтье января.
05755883-n	rus:lemma	учёба
05755883-n	rus:exe	Желаю вам больших успехов в учёбе.
04971928-n	rus:lemma	коричневый
04971928-n	rus:exe	Где коричневый карандаш?
15163797-n	rus:lemma	воскресенье
15163797-n	rus:exe	Я не могу работать в воскресенье.
15043763-n	rus:lemma	снег
15043763-n	rus:exe	Идёт дождь / снег.
00251013-n	rus:lemma	уборка
00251013-n	rus:exe	Я попросил сестру сделать уборку в моей комнате.
08058098-n	rus:lemma	фирма
08058098-n	rus:exe	Наша фирма занимается оптовой торговлей.
01382086-a	rus:lemma	большой
01382086-a	rus:exe	В её комнате большое зеркало.
01453084-a	rus:lemma	большой
01453084-a	rus:exe	В её комнате большое зеркало.
00527870-a	rus:lemma	большой
00527870-a	rus:exe	В её комнате большое зеркало.
01677433-a	rus:lemma	большой
01677433-a	rus:exe	В её комнате большое зеркало.
10084295-n	rus:lemma	девочка
10084295-n	rus:exe	Девочки любят конфеты.
10129825-n	rus:lemma	девочка
10129825-n	rus:exe	Девочки любят конфеты.
10129825-n	rus:lemma	старшая сестра
10129825-n	rus:exe	Где живёт твоя старшая сестра?
00065495-v	rus:lemma	бодрый
00065495-v	rus:exe	У него всегда бодрый вид.
80001734-n	rus:lemma	урок
80001734-n	rus:exe	Ты был на уроке английского языка?
00889472-n	rus:lemma	урок
00889472-n	rus:exe	Ты был на уроке английского языка?
02608347-v	rus:lemma	начинаться
02608347-v	rus:exe	Во сколько начинается фильм?
07850329-n	rus:lemma	сыр
07850329-n	rus:exe	Я очень люблю сыр.
03623556-n	rus:lemma	нож
03623556-n	rus:exe	Разрежьте мясо этим ножом.
03624134-n	rus:lemma	нож
03624134-n	rus:exe	Разрежьте мясо этим ножом.
01776727-v	rus:lemma	ненавидеть
01776727-v	rus:exe	Я ненавижу этого человека.
01774136-v	rus:lemma	ненавидеть
01774136-v	rus:exe	Я ненавижу этого человека.
02783161-n	rus:lemma	ручка
02783161-n	rus:exe	На этой фабрике выпускают шариковые ручки.
02632567-v	rus:lemma	хотеть
02632567-v	rus:exe	Я хочу чай с лимоном, а не с молоком.
01579608-a	rus:lemma	сразу
01579608-a	rus:exe	Он пришёл сразу после звонка.
03427296-n	rus:lemma	ворота
03427296-n	rus:exe	Эти ворота открываются в девять часов утра.
04026417-n	rus:lemma	бумажник
04026417-n	rus:exe	Внук подарил дедушке кожаный бумажник.
11456462-n	rus:lemma	ясная погода
11456462-n	rus:exe	На следующей неделе будет ясная погода.
07848338-n	rus:lemma	масло
07848338-n	rus:exe	Я мажу хлеб маслом.
90000501-n	rus:lemma	прошлый год
90000501-n	rus:exe	В прошлом году я путешествовала по России.
15210870-n	rus:lemma	март
15210870-n	rus:exe	Восьмое марта - Международный женский день.
77000072-n	rus:lemma	здесь
77000072-n	rus:exe	Иди сюда. Здесь светлее.
08489497-n	rus:lemma	здесь
08489497-n	rus:exe	Иди сюда. Здесь светлее.
03561345-n	rus:lemma	картина
03561345-n	rus:exe	Художник рисует картину.
03234306-n	rus:lemma	картина
03234306-n	rus:exe	Художник рисует картину.
03876519-n	rus:lemma	картина
03876519-n	rus:exe	Художник рисует картину.
07110615-n	rus:lemma	голос
07110615-n	rus:exe	Я люблю её нежный голос.
05202284-n	rus:lemma	голос
05202284-n	rus:exe	Я люблю её нежный голос.
09411430-n	rus:lemma	река
09411430-n	rus:exe	Река течёт быстро.
15236859-n	rus:lemma	осень
15236859-n	rus:exe	Наступила осень, и листья пожелтели.
02107442-v	rus:lemma	спрашивать
02107442-v	rus:exe	Но в Японии, знаете, совсем мало возможности слушать и говорить по-русски.
02169891-v	rus:lemma	спрашивать
02169891-v	rus:exe	Но в Японии, знаете, совсем мало возможности слушать и говорить по-русски.
02242464-v	rus:lemma	продавать
02242464-v	rus:exe	Здесь продают мужские костюмы.
00271022-a	rus:lemma	светлый
00271022-a	rus:exe	Эта комната светлая.
00271022-a	rus:lemma	светлый
00271022-a	rus:exe	Саша носит светлые костюмы.
00396523-a	rus:lemma	светлый
00396523-a	rus:exe	Эта комната светлая.
00396523-a	rus:lemma	светлый
00396523-a	rus:exe	Саша носит светлые костюмы.
00269989-a	rus:lemma	светлый
00269989-a	rus:exe	Эта комната светлая.
00269989-a	rus:lemma	светлый
00269989-a	rus:exe	Саша носит светлые костюмы.
00278551-a	rus:lemma	светлый
00278551-a	rus:exe	Эта комната светлая.
00278551-a	rus:lemma	светлый
00278551-a	rus:exe	Саша носит светлые костюмы.
02924116-n	rus:lemma	автобус
02924116-n	rus:exe	Ушёл последний автобус.
01614426-v	rus:lemma	наклеивать
01614426-v	rus:exe	Я наклеиваю марку на конверт.
80001230-x	rus:lemma	да
80001230-x	rus:exe	Да, знаю.
80001230-x	rus:exe	Да.
01184932-a	rus:lemma	тяжёлый
01184932-a	rus:exe	Мне нельзя поднимать тяжёлые вещи.
07881800-n	rus:lemma	напиток
07881800-n	rus:exe	Да, самый любимый алкогольный напиток.
01119192-a	rus:lemma	хорошо
01119192-a	rus:exe	Она очень хорошо говорит по-английски.
02226162-a	rus:lemma	хорошо
02226162-a	rus:exe	Она очень хорошо говорит по-английски.
01838916-a	rus:lemma	хорошо
01838916-a	rus:exe	Она очень хорошо говорит по-английски.
03467517-n	rus:lemma	гитара
03467517-n	rus:exe	Гриша очень хорошо играет на гитаре.
03613294-n	rus:lemma	ключ
03613294-n	rus:exe	Дайте мне ключ  от комнаты.
01553629-a	rus:lemma	многие
01553629-a	rus:exe	Многие из моих друзей уже побывали в Москве.
01551633-a	rus:lemma	многие
01551633-a	rus:exe	Многие из моих друзей уже побывали в Москве.
01552419-a	rus:lemma	многие
01552419-a	rus:exe	Многие из моих друзей уже побывали в Москве.
00127137-a	rus:lemma	старый
00127137-a	rus:exe	Вы говорите о старом Нóвом гóде?
01638438-a	rus:lemma	старый
01638438-a	rus:exe	Вы говорите о старом Нóвом гóде?
01729384-a	rus:lemma	старый
01729384-a	rus:exe	Вы говорите о старом Нóвом гóде?
10694258-n	rus:lemma	учитель
10694258-n	rus:exe	Наш учитель часто даёт нам хорошие советы.
07859284-n	rus:lemma	сахар
07859284-n	rus:exe	Вам кофе с сахаром?
09605289-n	rus:lemma	взрослый
09605289-n	rus:exe	Взрослые тоже иногда плачут.
04081281-n	rus:lemma	ресторан
04081281-n	rus:exe	В вашей гостинице есть хороший ресторан.
04081281-n	rus:lemma	столовая
04081281-n	rus:exe	В столовой пусто.
10448983-n	rus:lemma	полицейский
10448983-n	rus:exe	Мой папа служит полицейским.
10448983-n	rus:lemma	полицейский
10448983-n	rus:exe	Полицейский идёт по улице.
90000507-n	rus:lemma	эта неделя
90000507-n	rus:exe	Но на этой неделе я занята.
02686568-n	rus:lemma	самолёт
02686568-n	rus:exe	Из Москвы в Санкт-Петербург я летел на самолёте.
02691156-n	rus:lemma	самолёт
