# TUFS Basic Tagalog Wordnet	tgl http://www.coelang.tufs.ac.jp/mt/tl/	CC BY 4.0
15210045-n	tgl:lemma	Enero
15210045-n	tgl:exe	Mura ang tiket ng eroplano sa Enero.\n
05755883-n	tgl:lemma	pag-aaral
05755883-n	tgl:exe	Pagbutihin mo ang iyong pag-aaral.\n
04971928-n	tgl:lemma	kulay kape
04971928-n	tgl:exe	Kulay kape ang balat ng mga mangingisda.\n
15163797-n	tgl:lemma	Linggo
15163797-n	tgl:exe	Balita ko, piyesta raw sa bayan ninyo sa Linggo. 
15043763-n	tgl:lemma	niyebe
15043763-n	tgl:exe	Umulan ng niyebe kanina.
00251013-n	tgl:lemma	paglilinis
00251013-n	tgl:exe	Magaling sa paglilinis ng bahay si Nena.\n
08058098-n	tgl:lemma	kumpanya
08058098-n	tgl:exe	Sa malaking kumpanya nagtatrabaho si Juan.\n
01382086-a	tgl:lemma	malaki
01382086-a	tgl:exe	Mas malaki ba ito kaysa sa putok ng Mayon Volcano noon?
01453084-a	tgl:lemma	malaki
01453084-a	tgl:exe	Mas malaki ba ito kaysa sa putok ng Mayon Volcano noon?
00527870-a	tgl:lemma	malaki
00527870-a	tgl:exe	Mas malaki ba ito kaysa sa putok ng Mayon Volcano noon?
01677433-a	tgl:lemma	malaki
01677433-a	tgl:exe	Mas malaki ba ito kaysa sa putok ng Mayon Volcano noon?
10084295-n	tgl:lemma	batang babae
10084295-n	tgl:exe	May hawak na manika ang batang babae.\n
10129825-n	tgl:lemma	batang babae
10129825-n	tgl:exe	May hawak na manika ang batang babae.\n
10129825-n	tgl:lemma	ate
10129825-n	tgl:exe	Ate, bakit wala ka pang boyfriend? 
00065495-v	tgl:lemma	masigla
00065495-v	tgl:exe	Lumaki sanang masigla ang anak natin.\n
80001734-n	tgl:lemma	klase
80001734-n	tgl:exe	Bakit? Napili ko na ang klase ni Miss Ramos.
00889472-n	tgl:lemma	klase
00889472-n	tgl:exe	Bakit? Napili ko na ang klase ni Miss Ramos.
02608347-v	tgl:lemma	magsimula
02608347-v	tgl:exe	Anong oras nagsimula ang klase ninyo?\n
07850329-n	tgl:lemma	keso
07850329-n	tgl:exe	Hindi ko nilagyan ng keso ang spaghetti.
03623556-n	tgl:lemma	kutsilyo
03623556-n	tgl:exe	Ihasa mo itong kutsilyo para tumalas.
03624134-n	tgl:lemma	kutsilyo
03624134-n	tgl:exe	Ihasa mo itong kutsilyo para tumalas.
01776727-v	tgl:lemma	ayaw
01776727-v	tgl:exe	Bakit, ayaw mo ba ng ampalaya?
01774136-v	tgl:lemma	ayaw
01774136-v	tgl:exe	Bakit, ayaw mo ba ng ampalaya?
02783161-n	tgl:lemma	bolpen
02783161-n	tgl:exe	Ilang bolpen ang kailangan mo sa opisina?\n
02632567-v	tgl:lemma	gusto
02632567-v	tgl:exe	Gusto ko ng bagong kotse.\n
01579608-a	tgl:lemma	agad
01579608-a	tgl:exe	Oo, naubos nga agad, eh.
03427296-n	tgl:lemma	trangkahan
03427296-n	tgl:exe	Kinakalawang na ang trangkahan namin.\n
04026417-n	tgl:lemma	pitaka
04026417-n	tgl:exe	Nasaan ang pitaka ko?
11456462-n	tgl:lemma	maaraw
11456462-n	tgl:exe	Isampay mo sa labas ang mga damit kung maaraw bukas.\n
07848338-n	tgl:lemma	bater
07848338-n	tgl:exe	Hindi ako naglalagay ng bater sa tinapay.\n
90000501-n	tgl:lemma	noong isang taon
90000501-n	tgl:exe	Oo, noong isang taon.
15210870-n	tgl:lemma	Marso
15210870-n	tgl:exe	Malamig pa ang Marso sa Hapon.
77000072-n	tgl:lemma	dito
77000072-n	tgl:exe	Masyadong mainit dito, eh.
08489497-n	tgl:lemma	dito
08489497-n	tgl:exe	Masyadong mainit dito, eh.
03561345-n	tgl:lemma	larawan
03561345-n	tgl:exe	Pinagmasdan niya ang larawan ng kanyang ina.\n
03234306-n	tgl:lemma	larawan
03234306-n	tgl:exe	Pinagmasdan niya ang larawan ng kanyang ina.\n
03876519-n	tgl:lemma	larawan
03876519-n	tgl:exe	Pinagmasdan niya ang larawan ng kanyang ina.\n
07110615-n	tgl:lemma	boses
07110615-n	tgl:exe	Malaki ang boses ng pulis-trapiko.\n
05202284-n	tgl:lemma	boses
05202284-n	tgl:exe	Malaki ang boses ng pulis-trapiko.\n
09411430-n	tgl:lemma	ilog
09411430-n	tgl:exe	Mayroong dalawang kalabaw sa ilog.　
15236859-n	tgl:lemma	taglagas
15236859-n	tgl:exe	Mainit ba sa taglagas sa Hapon?
02107442-v	tgl:lemma	makinig
02107442-v	tgl:exe	Hindi ako nakinig sa klase kanina.\n
02169891-v	tgl:lemma	makinig
02169891-v	tgl:exe	Hindi ako nakinig sa klase kanina.\n
02242464-v	tgl:lemma	ibenta
02242464-v	tgl:exe	Ibenta mo na lang ang mga lumang libro mo.\n
00271022-a	tgl:lemma	matingkad
00271022-a	tgl:exe	Hindi ako mahilig sa mga kulay na matingkad.
00396523-a	tgl:lemma	matingkad
00396523-a	tgl:exe	Hindi ako mahilig sa mga kulay na matingkad.
00269989-a	tgl:lemma	matingkad
00269989-a	tgl:exe	Hindi ako mahilig sa mga kulay na matingkad.
00278551-a	tgl:lemma	matingkad
00278551-a	tgl:exe	Hindi ako mahilig sa mga kulay na matingkad.
02924116-n	tgl:lemma	bus
02924116-n	tgl:exe	Magbubus ako papuntang Baguio mamayang gabi.\n
01614426-v	tgl:lemma	idikit
01614426-v	tgl:exe	Huwag mong idikit sa pader iyang kalendaryo.\n
80001230-x	tgl:lemma	oo
80001230-x	tgl:exe	Oo nga.
01184932-a	tgl:lemma	mabigat
01184932-a	tgl:exe	Mabigat ang elepante.\n
07881800-n	tgl:lemma	inumin
07881800-n	tgl:exe	Ano ang paborito mong inumin sa piesta?\n
01119192-a	tgl:lemma	mahusay
01119192-a	tgl:exe	Mahusay akong mag-Amoy dahil taga-China ang lolo ko.
02226162-a	tgl:lemma	mahusay
02226162-a	tgl:exe	Mahusay akong mag-Amoy dahil taga-China ang lolo ko.
01838916-a	tgl:lemma	mahusay
01838916-a	tgl:exe	Mahusay akong mag-Amoy dahil taga-China ang lolo ko.
03467517-n	tgl:lemma	gitara
03467517-n	tgl:exe	Mahilig sa gitara si Freddie.\n
03613294-n	tgl:lemma	susi
03613294-n	tgl:exe	Nakalimutan ko ang susi sa loob ng kotse.\n
01553629-a	tgl:lemma	marami
01553629-a	tgl:exe	Maraming seafood at may lechon din.
01551633-a	tgl:lemma	marami
01551633-a	tgl:exe	Maraming seafood at may lechon din.
01552419-a	tgl:lemma	marami
01552419-a	tgl:exe	Maraming seafood at may lechon din.
00127137-a	tgl:lemma	luma
00127137-a	tgl:exe	Luma ang kotseng minamaneho ni Jun.\n
01638438-a	tgl:lemma	luma
01638438-a	tgl:exe	Luma ang kotseng minamaneho ni Jun.\n
01729384-a	tgl:lemma	luma
01729384-a	tgl:exe	Luma ang kotseng minamaneho ni Jun.\n
10694258-n	tgl:lemma	titser
10694258-n	tgl:exe	Dalaga ang titser ko ng Ingles.
07859284-n	tgl:lemma	asukal
07859284-n	tgl:exe	Nilalagyan ko ng asukal ang kape ko.\n
09605289-n	tgl:lemma	matanda
09605289-n	tgl:exe	Matanda na ang lolo ko pero malakas pa siya.
04081281-n	tgl:lemma	restawran
04081281-n	tgl:exe	Madalang kaming kumain sa restawran.\n
04081281-n	tgl:lemma	kantin
04081281-n	tgl:exe	Masarap ang pagkain sa kantin ng aming eskwelahan.\n
10448983-n	tgl:lemma	pulis
10448983-n	tgl:exe	May kakilala akong pulis.\n
10448983-n	tgl:lemma	pulis
10448983-n	tgl:exe	Hinuli siya ng isang pulis.
90000507-n	tgl:lemma	ngayong linggo
90000507-n	tgl:exe	Kinapos ako ngayong linggong ito, kaya puwede bang mangutang sa iyo?
02686568-n	tgl:lemma	eroplano
02686568-n	tgl:exe	Mura ang tiket ng eroplano sa Enero.\n
02691156-n	tgl:lemma	eroplano
02691156-n	tgl:exe	Mura ang tiket ng eroplano sa Enero.\n
08420278-n	tgl:lemma	bangko
