# TUFS Basic Turkish Wordnet	tur	http://www.coelang.tufs.ac.jp/mt/tr/	CC BY 4.0
15210045-n	tur:lemma	Ocak
15210045-n	tur:exe	0	Türkiye'de 1 Ocak tatil mi?
15210045-n	tur:count	Ocak	1
15210045-n	tur:pron	Ocak			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1862.mp3	
05755883-n	tur:lemma	ders çalış-
05755883-n	tur:exe	0	Osman ders çalışmayı hiç sevmiyor.
05755883-n	tur:exe	1	Dün hiç uyumadan ders çalıştım.
05755883-n	tur:exe	2	Her gün ders çalışıyorum.
05755883-n	tur:exe	3	Kütüphanede ders çalışıyorum.
05755883-n	tur:pron	ders çalış-			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1604.mp3	
04971928-n	tur:lemma	kahverengi
04971928-n	tur:exe	0	Kahverengi bir mont aldım.
04971928-n	tur:count	kahverengi	1
04971928-n	tur:pron	kahverengi			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1974.mp3	
15163797-n	tur:lemma	Pazar
15163797-n	tur:exe	0	Pazar günü hep evde film seyrediyorum.
15163797-n	tur:count	Pazar	1
15163797-n	tur:pron	Pazar			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1875.mp3	
15043763-n	tur:lemma	kar
15043763-n	tur:exe	0	Bu yıl hiç kar yağmadı.
15043763-n	tur:exe	1	Ankara'da Aralık'ta kar yağıyor mu?
15043763-n	tur:count	kar	3
15043763-n	tur:pron	kar			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1937.mp3	
00251013-n	tur:lemma	temizlik
00251013-n	tur:exe	0	Annem temizlik yapmayı sevmez.
00251013-n	tur:count	temizlik	1
00251013-n	tur:pron	temizlik			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1561.mp3	
08058098-n	tur:lemma	şirket
08058098-n	tur:exe	0	Baban hangi şirkette çalışıyor?
08058098-n	tur:exe	1	Amcam şirkette çalışıyor.
08058098-n	tur:count	şirket	2
08058098-n	tur:pron	şirket			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1517.mp3	
01382086-a	tur:lemma	büyük
01382086-a	tur:exe	0	Sol tarafında büyük bir cami olan bina.
01382086-a	tur:exe	1	İstanbul’da büyük bir deprem olacakmış.
01382086-a	tur:exe	2	Büyük boy bir defter arıyorum.
01382086-a	tur:count	büyük	3
01382086-a	tur:pron	büyük			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1742.mp3	
01453084-a	tur:lemma	büyük
01453084-a	tur:exe	0	Sol tarafında büyük bir cami olan bina.
01453084-a	tur:exe	1	İstanbul’da büyük bir deprem olacakmış.
01453084-a	tur:exe	2	Büyük boy bir defter arıyorum.
01453084-a	tur:count	büyük	3
01453084-a	tur:pron	büyük			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1742.mp3	
00527870-a	tur:lemma	büyük
00527870-a	tur:exe	0	Sol tarafında büyük bir cami olan bina.
00527870-a	tur:exe	1	İstanbul’da büyük bir deprem olacakmış.
00527870-a	tur:exe	2	Büyük boy bir defter arıyorum.
00527870-a	tur:count	büyük	3
00527870-a	tur:pron	büyük			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1742.mp3	
01677433-a	tur:lemma	büyük
01677433-a	tur:exe	0	Sol tarafında büyük bir cami olan bina.
01677433-a	tur:exe	1	İstanbul’da büyük bir deprem olacakmış.
01677433-a	tur:exe	2	Büyük boy bir defter arıyorum.
01677433-a	tur:count	büyük	3
01677433-a	tur:pron	büyük			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1742.mp3	
10084295-n	tur:lemma	kız
10084295-n	tur:exe	0	Ben kız okulunda okudum.
10084295-n	tur:exe	1	Mavi gözlü kız.
10084295-n	tur:count	kız	2
10084295-n	tur:pron	kız			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1968.mp3	
10129825-n	tur:lemma	kız
10129825-n	tur:exe	0	Ben kız okulunda okudum.
10129825-n	tur:exe	1	Mavi gözlü kız.
10129825-n	tur:count	kız	2
10129825-n	tur:pron	kız			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1968.mp3	
10129825-n	tur:lemma	abla
10129825-n	tur:exe	0	Abla, buna bakar mısın?
10129825-n	tur:exe	1	Ablan nerede oturuyor?
10129825-n	tur:count	abla	2
10129825-n	tur:pron	abla			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1794.mp3	
00065495-v	tur:lemma	iyi
00065495-v	tur:exe	0	İyiyim, teşekkür ederim. 
00065495-v	tur:count	iyi	1
