# TUFS Basic Vietnamese Wordnet	vie	http://www.coelang.tufs.ac.jp/mt/vi/	CC BY 4.0
15210045-n	vie:lemma	tháng một
15210045-n	vie:exe	Tháng một ở Việt Nam có tết tây, còn tháng hai có tết ta.
05755883-n	vie:lemma	học tập
05755883-n	vie:exe	Người nước ngoài đó học tập chăm chỉ.
04971928-n	vie:lemma	nâu
04971928-n	vie:exe	Dưới ghế có một con mèo màu nâu.
15163797-n	vie:lemma	chủ nhật
15163797-n	vie:exe	Thứ bảy em lên lớp, chủ nhật em đi chơi đi.
15163797-n	vie:exe	Chủ nhật này chúng mình đi xem đi.
15163797-n	vie:exe	Cả chủ Nhật cũng phải đi làm thêm.
15043763-n	vie:lemma	tuyết
15043763-n	vie:exe	Tuyết rơi. 
15043763-n	vie:exe	Tối qua trời lạnh đến nỗi có tuyết.
00251013-n	vie:lemma	dọn phòng
00251013-n	vie:exe	Tôi thường dọn phòng vào thứ hai.
08058098-n	vie:lemma	công ty
08058098-n	vie:exe	Tôi thuê xe của công ty ấy.
08058098-n	vie:exe	Anh là nhân viên công ty, phải không?
08058098-n	vie:exe	Công ty này có hai mưoi lăm người.
01382086-a	vie:lemma	to
01382086-a	vie:exe	Em nói to lên một chút.
01382086-a	vie:exe	Ngày mai trời mưa to.
01382086-a	vie:exe	Cái nhà này to bằng cái nhà kia.
01382086-a	vie:lemma	lớn
01382086-a	vie:exe	Đi thẳng qua ngã tư đó có một ngân hàng lớn.
01453084-a	vie:lemma	to
01453084-a	vie:exe	Em nói to lên một chút.
01453084-a	vie:exe	Ngày mai trời mưa to.
01453084-a	vie:exe	Cái nhà này to bằng cái nhà kia.
01453084-a	vie:lemma	lớn
01453084-a	vie:exe	Đi thẳng qua ngã tư đó có một ngân hàng lớn.
00527870-a	vie:lemma	to
00527870-a	vie:exe	Em nói to lên một chút.
00527870-a	vie:exe	Ngày mai trời mưa to.
00527870-a	vie:exe	Cái nhà này to bằng cái nhà kia.
00527870-a	vie:lemma	lớn
00527870-a	vie:exe	Đi thẳng qua ngã tư đó có một ngân hàng lớn.
01677433-a	vie:lemma	to
01677433-a	vie:exe	Em nói to lên một chút.
01677433-a	vie:exe	Ngày mai trời mưa to.
01677433-a	vie:exe	Cái nhà này to bằng cái nhà kia.
01677433-a	vie:lemma	lớn
01677433-a	vie:exe	Đi thẳng qua ngã tư đó có một ngân hàng lớn.
10084295-n	vie:lemma	con gái
10084295-n	vie:exe	Dạo này anh ấy hay đi ra ngoài với một con gái.
10129825-n	vie:lemma	con gái
10129825-n	vie:exe	Dạo này anh ấy hay đi ra ngoài với một con gái.
10129825-n	vie:lemma	chị
10129825-n	vie:exe	Có khi chị tôi không ăn tối.
00065495-v	vie:lemma	khỏe
00065495-v	vie:exe	Chị ấy không được khỏe.
00065495-v	vie:exe	Mấy hôm nay tôi không khỏe lắm.
80001734-n	vie:lemma	giờ học
80001734-n	vie:exe	Trước giờ học tôi mua báo.
00889472-n	vie:lemma	giờ học
00889472-n	vie:exe	Trước giờ học tôi mua báo.
02608347-v	vie:lemma	bắt đầu
02608347-v	vie:exe	Chúng ta bắt đầu nhé.
