# TUFS Basic Chinese, Mandarin Wordnet	cmn	http://www.coelang.tufs.ac.jp/mt/zh/	CC BY 4.0
15210045-n	cmn:lemma	一月	yīyuè__orth:pīnyīn
15210045-n	cmn:exe	0	今天一月一号星期一。
15210045-n	cmn:count	一月	2
15210045-n	cmn:pron	一月	yīyuè	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_387.mp3	
05755883-n	cmn:lemma	学习	xuéxí__orth:pīnyīn
05755883-n	cmn:exe	0	她学习英语。
05755883-n	cmn:count	学习	1
05755883-n	cmn:pron	学习	xuéxí	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_129.mp3	
15163797-n	cmn:lemma	星期日	xīngqīrì__orth:pīnyīn
15163797-n	cmn:exe	0	星期天,星期日
15163797-n	cmn:count	星期日	1
15163797-n	cmn:pron	星期日	xīngqīrì	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_400.mp3	
15163797-n	cmn:lemma	星期天	xīngqītiān__orth:pīnyīn
15163797-n	cmn:exe	0	星期天我们去看电影吧。
15163797-n	cmn:count	星期天	1
15163797-n	cmn:pron	星期天	xīngqītiān	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_557.mp3	
15043763-n	cmn:lemma	雪	xuě__orth:pīnyīn
15043763-n	cmn:exe	0	下起雪来了。
15043763-n	cmn:count	雪	2
15043763-n	cmn:pron	雪	xuě	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_462.mp3	
00251013-n	cmn:lemma	打扫	dǎsǎo__orth:pīnyīn
00251013-n	cmn:exe	0	打扫得很彻底。
00251013-n	cmn:count	打扫	1
00251013-n	cmn:pron	打扫	dǎsǎo	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_79.mp3	
08058098-n	cmn:lemma	公司	gōngsī__orth:pīnyīn
08058098-n	cmn:exe	0	昨天我去一家计算机公司面试了。
08058098-n	cmn:count	公司	1
08058098-n	cmn:pron	公司	gōngsī	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_42.mp3	
01382086-a	cmn:lemma	大	dà__orth:pīnyīn
01382086-a	cmn:exe	0	这间屋子跟那间屋子一样大。
01382086-a	cmn:count	大	2
01382086-a	cmn:pron	大	dà	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_267.mp3	
01453084-a	cmn:lemma	大	dà__orth:pīnyīn
01453084-a	cmn:exe	0	这间屋子跟那间屋子一样大。
01453084-a	cmn:count	大	2
01453084-a	cmn:pron	大	dà	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_267.mp3	
00527870-a	cmn:lemma	大	dà__orth:pīnyīn
00527870-a	cmn:exe	0	这间屋子跟那间屋子一样大。
00527870-a	cmn:count	大	2
00527870-a	cmn:pron	大	dà	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_267.mp3	
01677433-a	cmn:lemma	大	dà__orth:pīnyīn
01677433-a	cmn:exe	0	这间屋子跟那间屋子一样大。
01677433-a	cmn:count	大	2
